,id,director,title,genres,revenue,vote_count,vote_average
33,9089,Jodie Foster,Home for the Holidays,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17519169,39,6.3
34,2054,Stephen Herek,Mr. Holland's Opus,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",106269971,115,6.9
35,11525,Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2409225,32,2.8
36,10634,F. Gary Gray,Friday,"[{'id': 35, 'name': 'Comedy'}]",28215918,513,7.0
37,755,Robert Rodriguez,From Dusk Till Dawn,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",25836616,1644,6.9
38,11859,Andrew Sipes,Fair Game,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",11534477,54,4.1
39,28387,Noah Baumbach,Kicking and Screaming,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",718490,36,7.0
40,20927,Michael Goldenberg,Bed of Roses,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19030691,27,5.1
41,36929,Steve Miner,Big Bully,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2042530,16,3.9
42,9102,Christian Duguay,Screamers,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",5781885,154,6.1
43,400,Gary Fleder,Things to Do in Denver When You're Dead,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",529766,87,6.7
44,10534,Ridley Scott,White Squall,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",10300000,86,6.3
45,2086,John Badham,Nick of Time,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8175346,190,6.1
46,9095,Stephen Frears,Mary Reilly,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",12379402,77,5.7
47,12158,Wes Craven,Vampire in Brooklyn,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",19800000,113,4.5
48,9208,John Woo,Broken Arrow,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",150270147,459,5.7
49,13685,Wes Anderson,Bottle Rocket,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",560069,285,6.8
50,9614,Dennis Dugan,Happy Gilmore,"[{'id': 35, 'name': 'Comedy'}]",41205099,767,6.5
51,688,Clint Eastwood,The Bridges of Madison County,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",182016617,397,7.3
52,10874,Brian Henson,Muppet Treasure Island,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",34327391,93,6.5
53,197,Mel Gibson,Braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",210000000,3404,7.7
54,103,Martin Scorsese,Taxi Driver,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",28262574,2632,8.1
55,33542,Stanley Tong,Rumble in the Bronx,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",32392047,245,6.5
56,78406,Andrew Davis,Steal Big Steal Little,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6278139,7,5.1
57,11066,Reginald Hudlin,Boomerang,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",70100000,139,5.4
58,2074,David O. Russell,Flirting with Disaster,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",14702438,66,6.3
59,11863,William Friedkin,Jade,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",9851610,45,5.1
60,5757,Dirk Shafer,Man of the Year,"[{'id': 35, 'name': 'Comedy'}]",209935,2,3.8
61,11000,Mike Nichols,The Birdcage,"[{'id': 35, 'name': 'Comedy'}]",185260553,303,6.7
62,9737,Michael Bay,Bad Boys,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",141407024,1729,6.5
63,22279,Mike Newell,An Awfully Big Adventure,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",851545,11,6.0
64,568,Ron Howard,Apollo 13,"[{'id': 18, 'name': 'Drama'}]",355237933,1637,7.3
65,11780,Michael Caton-Jones,Rob Roy,"[{'id': 12, 'name': 'Adventure'}]",31596911,151,6.5
66,414,Joel Schumacher,Batman Forever,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",336529144,1529,5.2
67,5894,Wayne Wang,Blue in the Face,"[{'id': 35, 'name': 'Comedy'}]",1275000,28,6.8
68,1775,Michael Moore,Canadian Bacon,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",178104,57,5.9
69,8839,Brad Silberling,Casper,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",287928194,1045,6.0
70,20649,Spike Lee,Clockers,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13071518,69,6.8
71,10329,Frank Marshall,Congo,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",152022101,214,5.0
72,8963,Tony Scott,Crimson Tide,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",157387195,508,7.0
73,26564,Terry Zwigoff,Crumb,"[{'id': 99, 'name': 'Documentary'}]",3174695,71,7.6
74,8068,Robert Rodriguez,Desperado,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",25405445,898,6.8
75,8512,Carl Franklin,Devil in a Blue Dress,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",16140822,88,6.3
76,1572,John McTiernan,Die Hard: With a Vengeance,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",366101666,2094,6.9
77,6520,Jerry Zucker,First Knight,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",127600435,319,5.9
78,10428,Iain Softley,Hackers,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",7563728,406,6.2
79,9886,Robert Longo,Johnny Mnemonic,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",19075720,380,5.5
80,9482,Danny Cannon,Judge Dredd,"[{'id': 878, 'name': 'Science Fiction'}]",113493481,643,5.4
81,19326,John Fortenberry,Jury Duty,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",17014653,34,4.0
82,9344,Larry Clark,Kids,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7412216,280,6.8
83,9071,Tom DiCillo,Living in Oblivion,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1148752,64,7.2
84,47608,Antonia Bird,Mad Love,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",15453274,27,5.5
85,2293,Kevin Smith,Mallrats,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2122561,400,6.8
86,9070,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",66000000,153,5.2
87,1642,Irwin Winkler,The Net,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",110627965,359,5.6
88,11472,Chris Columbus,Nine Months,"[{'id': 35, 'name': 'Comedy'}]",69660733,171,5.5
89,36196,Daisy von Scherler Mayer,Party Girl,"[{'id': 35, 'name': 'Comedy'}]",472370,14,5.8
90,10533,Roland Joffé,The Scarlet Letter,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10382407,111,5.5
91,10802,Paul Verhoeven,Showgirls,"[{'id': 18, 'name': 'Drama'}]",20350754,261,4.9
92,10149,Paul Auster,Smoke,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8349430,115,7.2
93,18402,Lasse Hallström,Something to Talk About,"[{'id': 35, 'name': 'Comedy'}]",50892160,60,5.7
94,9348,Roger Donaldson,Species,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",113374103,457,5.5
95,281,Kathryn Bigelow,Strange Days,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",7959291,334,6.8
96,79593,Wesley Strick,The Tie That Binds,"[{'id': 53, 'name': 'Thriller'}]",5780000,9,4.6
97,47939,Martha Coolidge,Three Wishes,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",7025496,18,6.1
98,36834,Agnieszka Holland,Total Eclipse,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",339889,112,6.5
99,9090,Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar","[{'id': 35, 'name': 'Comedy'}]",47774193,117,6.3
100,3512,Geoff Murphy,Under Siege 2: Dark Territory,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",104324083,217,5.6
101,9560,Alfonso Aráu,A Walk in the Clouds,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",50012507,168,6.5
102,9804,Kevin Reynolds,Waterworld,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",264218220,1017,5.9
103,50797,Nikita Mikhalkov,Burnt by the Sun,"[{'id': 18, 'name': 'Drama'}]",2616503,35,6.7
104,19155,Milčo Mančevski,Before the Rain,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",763847,45,7.7
105,76,Richard Linklater,Before Sunrise,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5535405,984,7.7
106,11017,Tamra Davis,Billy Madison,"[{'id': 35, 'name': 'Comedy'}]",26488734,464,6.2
107,9382,Herbert Ross,Boys on the Side,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",23450000,48,6.3
108,2292,Kevin Smith,Clerks,"[{'id': 35, 'name': 'Comedy'}]",3151130,769,7.4
109,1909,Jeremy Leven,Don Juan DeMarco,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",22200000,184,6.3
110,8984,Barry Levinson,Disclosure,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",214015089,217,5.9
111,8467,Bobby Farrelly,Dumb and Dumber,"[{'id': 35, 'name': 'Comedy'}]",247275374,1894,6.5
112,10451,Ang Lee,Eat Drink Man Woman,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7294403,76,7.5
113,18395,Garry Marshall,Exit to Eden,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",6841570,28,4.3
114,522,Tim Burton,Ed Wood,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",5887457,639,7.3
115,15789,Paul Brizzi,A Goofy Movie,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",35348597,404,6.7
116,27303,Brett Leonard,Hideaway,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",12201255,24,5.0
117,47867,Mark Lewis,Gordy,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",3992809,4,3.0
118,14275,Steve James,Hoop Dreams,"[{'id': 99, 'name': 'Documentary'}]",7830611,91,7.7
119,1024,Peter Jackson,Heavenly Creatures,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",3049135,299,6.9
120,17207,Randall Miller,Houseguest,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",26325256,17,6.0
121,14819,Steven Brill,Heavyweights,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",17689177,97,6.0
122,628,Neil Jordan,Interview with the Vampire,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",223664608,1558,7.2
123,87729,James Ivory,Jefferson in Paris,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2474000,10,5.2
124,6280,Ivan Reitman,Junior,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",37000000,381,4.7
125,11,George Lucas,Star Wars,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",775398007,6778,8.1
126,18183,Alfonso Aráu,Like Water for Chocolate,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",21665468,70,6.6
127,4476,Edward Zwick,Legends of the Fall,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",160638883,636,7.2
128,28313,Stephen Gyllenhaal,Losing Isaiah,"[{'id': 18, 'name': 'Drama'}]",7603766,28,6.4
129,3036,Kenneth Branagh,Mary Shelley's Frankenstein,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",112006296,272,6.1
130,8986,Richard Benjamin,Milk Money,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",18137661,49,5.6
131,10510,Les Mayfield,Miracle on 34th Street,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",46264384,199,6.4
132,8438,Marc Rocco,Murder in the First,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",17381942,140,6.9
133,1945,Michael Apted,Nell,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",106683817,128,6.1
134,241,Oliver Stone,Natural Born Killers,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",50282766,927,6.9
135,527,Lee Tamahori,Once Were Warriors,"[{'id': 18, 'name': 'Drama'}]",2201126,106,7.6
136,6950,Wolfgang Petersen,Outbreak,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",189859560,522,6.4
137,101,Luc Besson,Leon: The Professional,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",45284974,4293,8.2
138,63020,Mira Nair,The Perez Family,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2832826,9,6.6
139,680,Quentin Tarantino,Pulp Fiction,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",213928762,8670,8.3
140,41478,Mario Van Peebles,Panther,"[{'id': 18, 'name': 'Drama'}]",6834525,6,6.4
141,25296,Ang Lee,Pushing Hands,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",152322,9,6.1
142,40156,Antonia Bird,Priest,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4176932,32,6.4
143,12106,Sam Raimi,The Quick and the Dead,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",18552460,431,6.2
144,161495,Peter Yates,Roommates,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",12400000,7,6.4
145,3586,Robert Altman,Prêt-à-Porter,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",11300653,33,5.3
146,22586,Richard Rich,The Swan Princess,"[{'id': 16, 'name': 'Animation'}]",9771658,251,6.5
147,2636,Luis Llosa,The Specialist,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",170362582,317,5.5
148,2164,Roland Emmerich,Stargate,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",196567262,942,6.8
149,11395,John Pasquin,The Santa Clause,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",189833357,501,6.3
150,278,Frank Darabont,The Shawshank Redemption,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",28341469,8358,8.5
151,87078,David Siegel,Suture,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",102780,7,6.0
152,9067,Rachel Talalay,Tank Girl,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",4064495,140,5.5
153,193,David Carson,Star Trek: Generations,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",120000000,461,6.4
154,25066,Rusty Cundieff,Tales from the Hood,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",12000000,33,5.4
155,11381,Peter Segal,Tommy Boy,"[{'id': 35, 'name': 'Comedy'}]",32648673,321,6.8
156,1587,Lasse Hallström,What's Eating Gilbert Grape,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",10032765,943,7.5
157,9271,Brett Leonard,Virtuosity,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",24048000,163,5.4
158,2064,Jon Turteltaub,While You Were Sleeping,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",182057016,340,6.5
159,60855,Mina Shum,Double Happiness,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",759393,2,5.5
160,236,P.J. Hogan,Muriel's Wedding,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",15119639,104,6.9
161,3049,Tom Shadyac,Ace Ventura: Pet Detective,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",107217396,1684,6.4
162,2759,Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",11220670,174,7.2
163,10497,Roman Polanski,Bitter Moon,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1862805,115,7.0
164,9331,Phillip Noyce,Clear and Present Danger,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",215887717,390,6.4
